strategy,final_size,nano_wrong_mean,usable_balanced_mean,critical_recall_mean,bw_recall_mean,initial_auc_mean,mini_dollar_saving_mean,total_cost_saving_mean
gold_oracle,100,50.0,100.0,1.0,1.0,,0.4776809424307738,0.37630932495159714
random,100,24.7,49.4,0.5305263157894737,0.47161290322580646,,0.5025060053636947,0.3958661082442909
seed40_nano_critical_iterative_explore20,100,26.6,53.2,0.5189473684210526,0.54,0.47486635450341375,0.48620090820842726,0.38302121626985736
seed40_nano_error_iterative,100,26.4,52.8,0.5178947368421053,0.5341935483870968,0.5270234684071421,0.4778138830846181,0.37641405344977036
seed40_nano_error_iterative_explore20,100,26.3,52.6,0.5136842105263157,0.5335483870967742,0.5270234684071421,0.4792296270093289,0.37752935362880036
seed40_nano_error_one_shot,100,25.54,51.08,0.4684210526315789,0.5367741935483871,0.5270234684071421,0.48655065894470134,0.3832967442463323
seed40_question_error_one_shot,100,25.64,51.28,0.4589473684210526,0.5458064516129032,0.5251712902836888,0.4919243488704981,0.38753005030661924
