selected_size,selected_fraction,full_pair_mini_calls,nano_first_mini_calls,mini_call_saving,mini_cost_mean_usd,mini_dollar_saving_mean,total_answer_cost_saving_mean,random_reveal_balanced_yield_mean,both_correct_mean,mini_only_mean,nano_only_mean,both_wrong_mean
20,0.1,200,20,0.9,0.020544024000000004,0.8943712877803189,0.7045712434078887,9.76,9.48,4.0,0.52,6.0
40,0.2,200,40,0.8,0.041066708,0.78885229684595,0.6214450880163315,18.92,18.99,7.64,1.01,12.36
60,0.3,200,60,0.7,0.06144018800000001,0.6841004499909508,0.5389232763299661,29.2,28.48,11.27,1.52,18.73
80,0.4,200,80,0.6,0.081590332,0.5804969027131082,0.45730607648874383,39.06,38.17,15.19,1.83,24.81
100,0.5,200,100,0.5,0.101973696,0.4756942364961582,0.3747442301305056,49.6,47.54,19.0,2.46,31.0
