strategy,final_size,nano_wrong_mean,usable_balanced_mean,critical_recall_mean,bw_recall_mean,initial_auc_mean,mini_dollar_saving_mean,total_cost_saving_mean
gold_oracle,60,30.0,60.0,0.6010526315789473,0.5993548387096774,,0.6858761661100051,0.5403221567849129
gold_oracle,80,40.0,80.0,0.8094736842105263,0.7941935483870968,,0.5827158228993568,0.45905410594363394
gold_oracle,100,50.0,100.0,1.0,1.0,,0.4776809424307738,0.37630932495159714
random,60,14.32,28.64,0.30631578947368415,0.27419354838709675,,0.6975916846279142,0.5495514528972886
random,80,19.34,38.68,0.41157894736842104,0.3716129032258065,,0.6003217394165749,0.4729237623842584
random,100,24.7,49.4,0.5305263157894737,0.47161290322580646,,0.5025060053636947,0.3958661082442909
seed20_nano_iterative,60,16.32,32.64,0.32,0.3303225806451613,0.5027048699432886,0.6802096530051499,0.5358581693575172
seed20_nano_iterative,80,21.42,42.84,0.4242105263157894,0.4309677419354838,0.5027048699432886,0.5780554138765034,0.4553827110488242
seed20_nano_iterative,100,26.66,53.32,0.5242105263157895,0.5387096774193548,0.5027048699432886,0.4788026703302128,0.3771930040585534
seed20_nano_iterative_explore20,60,16.62,33.24,0.3305263157894737,0.33354838709677415,0.5027048699432886,0.6819050165353165,0.5371937493418015
seed20_nano_iterative_explore20,80,21.48,42.96,0.4242105263157894,0.4329032258064516,0.5027048699432886,0.5815409105118544,0.4581285289566845
seed20_nano_iterative_explore20,100,26.94,53.88,0.5347368421052632,0.5412903225806452,0.5027048699432886,0.4803108392701427,0.3783811151705646
seed20_nano_one_shot,60,16.22,32.44,0.2884210526315789,0.34645161290322585,0.5027048699432886,0.6865161075371428,0.5408262922968496
seed20_nano_one_shot,80,21.1,42.2,0.3778947368421053,0.44903225806451613,0.5027048699432886,0.5860445219565968,0.4616764012540201
seed20_nano_one_shot,100,25.84,51.68,0.4757894736842105,0.5419354838709678,0.5027048699432886,0.48749197913753106,0.38403830107823045
seed20_question_one_shot,60,16.26,32.52,0.28736842105263155,0.34838709677419355,0.5014474980016358,0.6892165057009823,0.5429536223196131
seed20_question_one_shot,80,20.7,41.4,0.3726315789473684,0.43935483870967745,0.5014474980016358,0.5888553612267395,0.463890734995099
seed20_question_one_shot,100,25.86,51.72,0.48526315789473684,0.5367741935483871,0.5014474980016358,0.49014651442109947,0.386129501065269
