critical,both_correct,accuracy_mean,accuracy_std,saving_mean,saving_std,recall_mean,recall_std
1.0,46.0,0.8783333333333333,0.009428090415820642,0.615,0.08195527235429498,0.4166666666666667,0.1640418307085794
2.0,45.0,0.8883333333333333,0.013123346456686363,0.36000000000000004,0.18060084901978357,0.6041666666666666,0.20623947784607635
3.0,44.0,0.8733333333333333,0.004714045207910321,0.655,0.05099019513592784,0.3333333333333333,0.05892556509887896
4.0,43.0,0.8916666666666667,0.006236095644623242,0.4133333333333334,0.135236418500672,0.625,0.13501543121683043
5.0,42.0,0.8766666666666667,0.012472191289246483,0.51,0.1768238294649979,0.4375,0.13501543121683043
6.0,41.0,0.9016666666666667,0.004714045207910321,0.24333333333333337,0.046963342678684565,0.8125,0.05103103630798288
7.0,40.0,0.905,0.014142135623730963,0.19333333333333336,0.0988545508422461,0.8541666666666666,0.1640418307085794
8.0,39.0,0.8933333333333333,0.013123346456686363,0.4333333333333333,0.0802426874480715,0.6666666666666666,0.1640418307085794
9.0,38.0,0.8833333333333333,0.016996731711975965,0.4666666666666667,0.19396448701301539,0.5625,0.27003086243366087
10.0,37.0,0.8816666666666667,0.006236095644623242,0.5683333333333334,0.14744113703064313,0.5625,0.08838834764831845
11.0,36.0,0.9,0.007071067811865481,0.24666666666666667,0.08816020770292128,0.8125,0.08838834764831845
12.0,35.0,0.8883333333333333,0.010274023338281637,0.5133333333333333,0.22031543043756346,0.625,0.1839950180484968
13.0,34.0,0.8816666666666667,0.006236095644623242,0.5866666666666667,0.18231535560365972,0.5208333333333334,0.15590239111558088
14.0,33.0,0.8883333333333333,0.012472191289246483,0.5483333333333333,0.10249661241014532,0.6041666666666666,0.20623947784607635
15.0,32.0,0.8983333333333333,0.008498365855987983,0.435,0.14445299120013633,0.75,0.15309310892394862
16.0,31.0,0.8933333333333333,0.023921166824012227,0.455,0.23462736413300136,0.6458333333333334,0.32409060804383427
17.0,30.0,0.8983333333333333,0.010274023338281637,0.445,0.16345233759927286,0.7083333333333334,0.12842529172852035
18.0,29.0,0.8966666666666667,0.010274023338281637,0.36500000000000005,0.056715665090578515,0.7708333333333334,0.12842529172852035
19.0,28.0,0.875,0.025495097567963948,0.5933333333333334,0.3064945168985717,0.4375,0.3572172541558801
20.0,27.0,0.8816666666666667,0.02013840995599097,0.5966666666666667,0.2169613380817472,0.4791666666666667,0.2810570325673342
21.0,26.0,0.8916666666666667,0.008498365855987983,0.39999999999999997,0.11379806676741039,0.7083333333333334,0.10622957319984969
22.0,25.0,0.9,0.008164965809277268,0.4716666666666667,0.041699986677322685,0.7916666666666666,0.10622957319984969
23.0,24.0,0.8733333333333333,0.016996731711975965,0.6666666666666666,0.15627610892974722,0.375,0.22243913025065232
24.0,23.0,0.8983333333333333,0.006236095644623242,0.38666666666666666,0.0635522532164587,0.75,0.08838834764831845
25.0,22.0,0.885,0.014719601443879758,0.5633333333333334,0.10656244908763854,0.5416666666666666,0.20623947784607635
26.0,21.0,0.91,0.004082482904638634,0.19833333333333336,0.061824123303304696,0.9375,0.05103103630798288
27.0,20.0,0.8833333333333333,0.012472191289246483,0.6566666666666666,0.10474837574980445,0.4583333333333333,0.17921510973005472
28.0,19.0,0.8966666666666667,0.015456030825826186,0.4216666666666667,0.0744237118725537,0.6666666666666666,0.1640418307085794
29.0,18.0,0.895,0.008164965809277268,0.45,0.08195527235429499,0.6666666666666666,0.07795119555779044
30.0,17.0,0.8883333333333333,0.018408935028645452,0.5266666666666666,0.12918548250050732,0.5416666666666666,0.2618709393745111
31.0,16.0,0.89,0.004082482904638634,0.4166666666666667,0.13116994913300667,0.6041666666666666,0.10622957319984969
32.0,15.0,0.9,0.004082482904638634,0.3683333333333333,0.1429063407348401,0.7291666666666666,0.05892556509887896
33.0,14.0,0.9016666666666667,0.008498365855987983,0.225,0.09548123724935001,0.8125,0.13501543121683043
34.0,13.0,0.895,0.0177951304200522,0.4116666666666667,0.22039106656627944,0.7083333333333334,0.2810570325673342
35.0,12.0,0.9033333333333333,0.013123346456686363,0.19166666666666668,0.12651306476232227,0.8125,0.22243913025065232
36.0,11.0,0.8883333333333333,0.016499158227686123,0.44499999999999995,0.2728858125052797,0.6041666666666666,0.2568505834570407
37.0,10.0,0.8933333333333333,0.02094967514996091,0.335,0.2005409351396035,0.7083333333333334,0.29017475577466917
38.0,9.0,0.9066666666666667,0.006236095644623242,0.25,0.15105186747162935,0.875,0.08838834764831845
39.0,8.0,0.905,0.004082482904638634,0.27999999999999997,0.20424658299875337,0.8333333333333334,0.10622957319984969
40.0,7.0,0.8733333333333333,0.010274023338281637,0.6866666666666666,0.11032779442290243,0.3333333333333333,0.10622957319984969
41.0,6.0,0.9033333333333333,0.010274023338281637,0.2416666666666667,0.16362219355033175,0.7916666666666666,0.1473139127471974
42.0,5.0,0.895,0.014719601443879758,0.31166666666666665,0.1852175897574406,0.6875,0.23385358667337133
43.0,4.0,0.8816666666666667,0.024608038433722355,0.49,0.29393876913398137,0.4791666666666667,0.3320286968856089
44.0,3.0,0.8983333333333333,0.010274023338281637,0.35500000000000004,0.07257180352359081,0.6666666666666666,0.10622957319984969
45.0,2.0,0.8916666666666667,0.020548046676563275,0.355,0.23366642891095848,0.6666666666666666,0.2618709393745111
46.0,1.0,0.895,0.016329931618554536,0.36666666666666664,0.20821996915655222,0.6666666666666666,0.20623947784607635
