train_val,inverse_cost,cost_usd,accuracy,correct,mini_routes,nano_routes,cost_savings_vs_all_mini
25,5.330902441819863,0.18758550000000002,0.7853658536585366,161,141,64,0.1861094238111769
50,4.96376698290826,0.20145990000000005,0.8,164,160,45,0.12591157584172163
75,6.310119665109328,0.15847560000000002,0.775609756097561,159,96,109,0.31241062131204456
100,7.6690057134092555,0.130395,0.7609756097560976,156,59,146,0.43424592155501573
125,13.33436452418987,0.07499420000000001,0.7219512195121951,148,14,191,0.6746173203748699
150,11.495732783990578,0.08698880000000003,0.7219512195121951,148,12,193,0.6225754946199236
200,11.495732783990578,0.08698880000000003,0.7219512195121951,148,12,193,0.6225754946199236
