scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini_on_testdata,356,0.851123595505618,303,0,356,548330,96930,645260,0.37442000000000003,1.0517415730337079,all_mini_on_testdata,0.0,0.0,0.0
all_nano_on_testdata,356,0.7696629213483146,274,356,0,548330,107463,655793,0.09781820000000001,0.2747702247191011,all_mini_on_testdata,-0.2766018,0.7387473959724373,-0.0814606741573034
oracle_on_testdata,356,0.8567415730337079,305,325,31,548330,106236,654566,0.1254875000000001,0.3524929775280902,all_mini_on_testdata,-0.24893249999999992,0.6648482987019921,0.005617977528089901
gepa_best_on_testdata,356,0.7696629213483146,274,355,1,548330,107447,655777,0.09851800000000001,0.2767359550561798,all_mini_on_testdata,-0.27590200000000004,0.7368783718818439,-0.0814606741573034
