scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini,410,0.8048780487804879,330,0,410,631448,110539,741987,0.42944160000000003,1.0474185365853659,all_mini,0.0,0.0,0.0
all_nano,410,0.7341463414634146,301,410,0,631448,125423,756871,0.11331400000000007,0.2763756097560977,all_mini,-0.31612759999999995,0.7361364152890636,-0.07073170731707323
oracle_router,410,0.8439024390243902,346,365,45,631448,121711,753159,0.15163230000000005,0.36983487804878057,all_mini,-0.2778093,0.6469082175550761,0.03902439024390236
all_mini_on_gepa50,104,0.5673076923076923,59,0,104,160449,28015,188464,0.10900360000000003,1.0481115384615387,all_mini_on_gepa50,0.0,0.0,0.0
all_nano_on_gepa50,104,0.4326923076923077,45,104,0,160449,34710,195159,0.02992890000000001,0.2877778846153847,all_mini_on_gepa50,-0.07907470000000003,0.7254320040805992,-0.13461538461538458
oracle_on_gepa50,104,0.7211538461538461,75,74,30,160449,31180,191629,0.052864600000000005,0.5083134615384616,all_mini_on_gepa50,-0.05613900000000003,0.5150196874231678,0.15384615384615385
gepa_best_on_gepa50,104,0.46153846153846156,48,90,14,160449,34007,194456,0.044545400000000006,0.42832115384615393,all_mini_on_gepa50,-0.06445820000000002,0.5913401025287239,-0.10576923076923073
