scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini,410,0.8048780487804879,330,0,410,631448,110539,741987,0.42944160000000003,1.0474185365853659,all_mini,0.0,0.0,0.0
all_nano,410,0.7341463414634146,301,410,0,631448,125423,756871,0.11331400000000007,0.2763756097560977,all_mini,-0.31612759999999995,0.7361364152890636,-0.07073170731707323
oracle_router,410,0.8439024390243902,346,365,45,631448,121711,753159,0.15163230000000005,0.36983487804878057,all_mini,-0.2778093,0.6469082175550761,0.03902439024390236
all_mini_on_gepa50,50,0.5,25,0,50,77275,12888,90163,0.051530799999999995,1.0306159999999998,all_mini_on_gepa50,0.0,0.0,0.0
all_nano_on_gepa50,50,0.5,25,50,0,77275,17031,94306,0.0145399,0.290798,all_mini_on_gepa50,-0.03699089999999999,0.7178405924223958,0.0
oracle_on_gepa50,50,0.76,38,37,13,77275,14539,91814,0.024481999999999997,0.4896399999999999,all_mini_on_gepa50,-0.027048799999999998,0.5249054934136478,0.26
gepa_best_on_gepa50,50,0.54,27,45,5,77275,16579,93854,0.020940799999999996,0.4188159999999999,all_mini_on_gepa50,-0.03059,0.5936255598593463,0.040000000000000036
