scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini_on_testdata,306,0.8856209150326797,271,0,306,470999,82524,553523,0.320438,1.0471830065359478,all_mini_on_testdata,0.0,0.0,0.0
all_nano_on_testdata,306,0.8366013071895425,256,306,0,470999,90713,561712,0.08338509999999999,0.2725003267973856,all_mini_on_testdata,-0.2370529,0.7397777417160263,-0.04901960784313719
oracle_on_testdata,306,0.8856209150326797,271,291,15,470999,90531,561530,0.09876770000000006,0.3227702614379087,all_mini_on_testdata,-0.22167029999999993,0.6917728234479055,0.0
gepa_best_on_testdata,306,0.8464052287581699,259,262,43,469478,96532,566010,0.1369533,0.4475598039215687,all_mini_on_testdata,-0.1834847,0.5726059331290296,-0.039215686274509776
