scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini_on_testdata,360,0.8472222222222222,305,0,360,554173,97651,651824,0.3779108000000001,1.0497522222222224,all_mini_on_testdata,0.0,0.0,0.0
all_nano_on_testdata,360,0.7666666666666667,276,360,0,554173,108392,662565,0.09877410000000002,0.2743725000000001,all_mini_on_testdata,-0.27913670000000007,0.7386311796328657,-0.08055555555555549
oracle_on_testdata,360,0.8555555555555555,308,328,32,554173,107172,661345,0.12715030000000013,0.35319527777777815,all_mini_on_testdata,-0.25076049999999994,0.6635441485133526,0.008333333333333304
gepa_best_on_testdata,360,0.7694444444444445,277,340,20,554173,107729,661902,0.1185693000000001,0.3293591666666669,all_mini_on_testdata,-0.2593415,0.6862505649481304,-0.07777777777777772
