scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini,410,0.8048780487804879,330,0,410,631448,110539,741987,0.42944160000000003,1.0474185365853659,all_mini,0.0,0.0,0.0
all_nano,410,0.7341463414634146,301,410,0,631448,125423,756871,0.11331400000000007,0.2763756097560977,all_mini,-0.31612759999999995,0.7361364152890636,-0.07073170731707323
oracle_router,410,0.8439024390243902,346,365,45,631448,121711,753159,0.15163230000000005,0.36983487804878057,all_mini,-0.2778093,0.6469082175550761,0.03902439024390236
all_mini_on_gepa50,50,0.88,44,0,50,76667,8513,85180,0.04428760000000002,0.8857520000000004,all_mini_on_gepa50,0.0,0.0,0.0
all_nano_on_gepa50,50,0.76,38,50,0,76667,12546,89213,0.012685100000000005,0.2537020000000001,all_mini_on_gepa50,-0.03160250000000001,0.7135744542490449,-0.12
oracle_on_gepa50,50,0.9,45,43,7,76667,12209,88876,0.0181906,0.363812,all_mini_on_gepa50,-0.026097000000000016,0.5892620056178255,0.020000000000000018
gepa_best_on_gepa50,50,0.78,39,48,2,76667,12227,88894,0.015082000000000005,0.3016400000000001,all_mini_on_gepa50,-0.029205600000000012,0.6594532103794291,-0.09999999999999998
