scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini_on_testdata,310,0.8838709677419355,274,0,310,476953,83195,560148,0.3238932,1.0448167741935483,all_mini_on_testdata,0.0,0.0,0.0
all_nano_on_testdata,310,0.8290322580645161,257,310,0,476953,91424,568377,0.0842649,0.2718222580645161,all_mini_on_testdata,-0.2396283,0.7398373908436484,-0.05483870967741944
oracle_on_testdata,310,0.8838709677419355,274,293,17,476953,91194,568147,0.10119100000000004,0.32642258064516144,all_mini_on_testdata,-0.22270219999999996,0.6875791155850137,0.0
gepa_best_on_testdata,310,0.8419354838709677,261,223,87,476953,96076,573029,0.16892450000000003,0.5449177419354839,all_mini_on_testdata,-0.15496869999999996,0.4784561701202741,-0.041935483870967794
