scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini_on_testdata,310,0.864516129032258,268,0,310,477077,78680,555757,0.31671880000000013,1.0216735483870973,all_mini_on_testdata,0.0,0.0,0.0
all_nano_on_testdata,310,0.832258064516129,258,310,0,477077,87842,564919,0.08284449999999997,0.26724032258064506,all_mini_on_testdata,-0.23387430000000015,0.73842885234473,-0.032258064516129004
oracle_on_testdata,310,0.864516129032258,268,300,10,477077,85289,562366,0.09070659999999996,0.2926019354838708,all_mini_on_testdata,-0.22601220000000016,0.7136052548822491,0.0
gepa_best_on_testdata,310,0.8548387096774194,265,183,127,477077,85699,562776,0.1998113999999999,0.644552903225806,all_mini_on_testdata,-0.11690740000000024,0.3691204942681021,-0.009677419354838679
