scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini,410,0.8048780487804879,330,0,410,631448,110539,741987,0.42944160000000003,1.0474185365853659,all_mini,0.0,0.0,0.0
all_nano,410,0.7341463414634146,301,410,0,631448,125423,756871,0.11331400000000007,0.2763756097560977,all_mini,-0.31612759999999995,0.7361364152890636,-0.07073170731707323
oracle_router,410,0.8439024390243902,346,365,45,631448,121711,753159,0.15163230000000005,0.36983487804878057,all_mini,-0.2778093,0.6469082175550761,0.03902439024390236
all_mini_on_gepa50,54,0.5,27,0,54,83118,13609,96727,0.0550216,1.0189185185185186,all_mini_on_gepa50,0.0,0.0,0.0
all_nano_on_gepa50,54,0.5,27,54,0,83118,17960,101078,0.015495799999999999,0.28695925925925925,all_mini_on_gepa50,-0.0395258,0.7183687860767407,0.0
oracle_on_gepa50,54,0.7592592592592593,41,40,14,83118,15475,98593,0.026144799999999996,0.4841629629629629,all_mini_on_gepa50,-0.0288768,0.5248266135481339,0.2592592592592593
gepa_best_on_gepa50,54,0.5,27,54,0,83118,17960,101078,0.015495799999999999,0.28695925925925925,all_mini_on_gepa50,-0.0395258,0.7183687860767407,0.0
