scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini_on_testdata,10,1.0,10,0,10,15159,3613,18772,0.011844400000000001,1.1844400000000002,all_mini_on_testdata,0.0,0.0,0.0
all_nano_on_testdata,10,0.0,0,10,0,15159,6166,21325,0.003982299999999999,0.39823,all_mini_on_testdata,-0.007862100000000002,0.663782040457938,-1.0
oracle_on_testdata,10,1.0,10,0,10,15159,3613,18772,0.011844400000000001,1.1844400000000002,all_mini_on_testdata,0.0,0.0,0.0
gepa_best_on_testdata,10,0.7,7,3,7,15159,3485,18644,0.009608000000000002,0.9608000000000002,all_mini_on_testdata,-0.0022363999999999995,0.18881496741075943,-0.30000000000000004
