scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini_on_testdata,360,0.7944444444444444,286,0,360,554781,102026,656807,0.38515400000000005,1.0698722222222223,all_mini_on_testdata,0.0,0.0,0.0
all_nano_on_testdata,360,0.7305555555555555,263,360,0,554781,112877,667658,0.10062890000000003,0.2795247222222223,all_mini_on_testdata,-0.28452510000000003,0.7387307414696458,-0.06388888888888888
oracle_on_testdata,360,0.8361111111111111,301,322,38,554781,109502,664283,0.13344170000000005,0.37067138888888906,all_mini_on_testdata,-0.2517123,0.6535367671113372,0.04166666666666674
gepa_best_on_testdata,360,0.7361111111111112,265,340,20,554781,119965,674746,0.13745349999999998,0.38181527777777774,all_mini_on_testdata,-0.24770050000000007,0.6431206738083988,-0.05833333333333324
