scenario,questions,accuracy,correct,nano_routes,mini_routes,input_tokens,output_tokens,total_tokens,cost_usd,cost_per_1000_questions,baseline,cost_delta_vs_baseline,cost_savings_vs_baseline,accuracy_delta_vs_baseline
all_mini_on_testdata,205,0.8048780487804879,165,0,205,317124,64769,381893,0.23048000000000007,1.1242926829268296,all_mini_on_testdata,0.0,0.0,0.0
all_nano_on_testdata,205,0.7121951219512195,146,205,0,317124,69728,386852,0.05960359999999999,0.2907492682926829,all_mini_on_testdata,-0.1708764000000001,0.7413936133287053,-0.09268292682926838
oracle_on_testdata,205,0.8390243902439024,172,179,26,317124,66133,383257,0.08243200000000003,0.4021073170731709,all_mini_on_testdata,-0.14804800000000004,0.6423464074973967,0.03414634146341455
gepa_best_on_testdata,205,0.7219512195121951,148,191,14,317124,69101,386225,0.07499420000000001,0.36582536585365855,all_mini_on_testdata,-0.15548580000000006,0.6746173203748699,-0.08292682926829276
